ID;Civilité;Prénom;Nom;Email;Téléphone;Adresse;Commune;Code Postal;Statut;Tranche âge;Besoin identifié;Segment emailing;Score priorité;Statut campagne;Email envoyé;Ouvert;Cliqué;Répondu;Notes
LEAD-025;M.;David;Robert;robert.david@laposte.net;07 65 87 75 24;50 Passage du Château, 69300 Caluire-et-Cuire;Caluire-et-Cuire;69300;Propriétaire maison;60-70 ans;Rénovation escalier bois;Rénovation intérieure;78;À contacter;Non;;;;
LEAD-027;M.;Jean-Luc;Bertrand;bertrand.jeanluc@yahoo.fr;06 88 82 48 61;71 Rue de la Fontaine, 69230 Saint-Genis-Laval;Saint-Genis-Laval;69230;Propriétaire appartement;60-70 ans;Parquet chêne collé;Restauration / ancien;78;À contacter;Non;;;;
LEAD-048;M.;Vincent;Legrand;vincentlegrand@laposte.net;07 24 79 38 92;20 Allée de l'Église, 69400 Villefranche-sur-Saône;Villefranche-sur-Saône;69400;Propriétaire maison;40-50 ans;Création dressing sur mesure;Parquet & sol bois;78;À contacter;Non;;;;
LEAD-147;M.;Yves;Marchand;marchand.yves@free.fr;06 98 20 74 54;7 Avenue de la Liberté, 69270 Couzon-au-Mont-d'Or;Couzon-au-Mont-d'Or;69270;Propriétaire loft;35-45 ans;Porte d'entrée bois sur mesure;Parquet & sol bois;78;À contacter;Non;;;;
LEAD-161;Mme;Stéphanie;Blanc;s.blanc@hotmail.fr;07 88 60 85 24;45 Boulevard Émile Zola, 69126 Brindas;Brindas;69126;Propriétaire appartement;50-60 ans;Tête de lit sur mesure bois;Restauration / ancien;77;À contacter;Non;;;;
LEAD-190;M.;Jean-Luc;Giraud;jeanlucgiraud@gmail.com;06 11 17 38 26;26 Place Saint-Antoine, 69260 Charbonnières-les-Bains;Charbonnières-les-Bains;69260;Propriétaire duplex;35-45 ans;Plan de travail bois massif;Restauration / ancien;77;À contacter;Non;;;;
LEAD-251;M.;Olivier;Blanc;olivier.blanc58@sfr.fr;07 50 12 59 96;16 Montée de la République, 71570 Saint-Amour-Bellevue;Saint-Amour-Bellevue;71570;Propriétaire duplex;35-45 ans;Banquette sur mesure;Aménagement rangement;77;À contacter;Non;;;;
LEAD-270;M.;Paul;Fontaine;paulfontaine@wanadoo.fr;07 80 81 71 32;48 Montée Voltaire, 69630 Chaponost;Chaponost;69630;Propriétaire maison ancienne;50-60 ans;Habillage mural bois;Restauration / ancien;77;À contacter;Non;;;;
LEAD-195;Mme;Sylvie;Martinez;sylviemartinez@sfr.fr;06 85 50 99 55;117 Passage du Marché, 69250 Montanay;Montanay;69250;Propriétaire duplex;55-65 ans;Étagères murales sur mesure;Restauration / ancien;76;À contacter;Non;;;;
LEAD-284;M.;Didier;Brun;d.brun@yahoo.fr;07 56 81 81 42;45 Rue de Verdun, 69120 Vaulx-en-Velin;Vaulx-en-Velin;69120;Propriétaire maison ancienne;45-55 ans;Placards encastrés;Restauration / ancien;76;À contacter;Non;;;;
LEAD-021;Mme;Christelle;Blanchard;christelle78@orange.fr;07 81 11 24 19;114 Chemin des Champs, 69400 Villefranche-sur-Saône;Villefranche-sur-Saône;69400;Propriétaire loft;55-65 ans;Pose parquet massif;Restauration / ancien;75;À contacter;Non;;;;
LEAD-044;Mme;Sophie;Nicolas;sophie.nicolas@outlook.fr;06 80 47 99 26;82 Route des Lilas, 69002 Lyon 2ème;Lyon 2ème;69002;Propriétaire maison de village;50-60 ans;Rénovation menuiseries intérieures;Menuiseries extérieures;75;À contacter;Non;;;;
LEAD-122;M.;Antoine;Garnier;antoinegarnier@gmail.com;06 16 22 62 52;92 Route des Lilas, 69260 Charbonnières-les-Bains;Charbonnières-les-Bains;69260;Propriétaire loft;40-50 ans;Plan de travail bois massif;Rénovation intérieure;75;À contacter;Non;;;;
LEAD-163;M.;Mathieu;Caron;m.caron@outlook.fr;06 33 50 67 89;7 Boulevard de la République, 69330 Meyzieu;Meyzieu;69330;Propriétaire appartement;45-55 ans;Habillage mural bois;Menuiseries extérieures;75;À contacter;Non;;;;
LEAD-213;M.;Romain;Lambert;romain.lambert60@sfr.fr;06 97 13 40 57;63 Passage des Acacias, 69170 Tarare;Tarare;69170;Propriétaire loft;65-75 ans;Restauration volets bois;Restauration / ancien;75;À contacter;Non;;;;
LEAD-253;Mme;Jacqueline;Roussel;roussel.jacqueline@orange.fr;07 11 80 81 28;16 Rue de la République, 69510 Thurins;Thurins;69510;Propriétaire maison de village;60-70 ans;Claustra / séparation bois;Restauration / ancien;75;À contacter;Non;;;;
LEAD-260;Mme;Michèle;Guillot;micheleguillot@hotmail.fr;07 39 18 43 57;30 Rue de la Colline, 69110 Sainte-Foy-lès-Lyon;Sainte-Foy-lès-Lyon;69110;Propriétaire maison de village;55-65 ans;Aménagement sous pente;Menuiseries extérieures;75;À contacter;Non;;;;
LEAD-277;M.;Olivier;Marchand;o.marchand@wanadoo.fr;06 99 43 41 46;12 Place des Amandiers, 69890 La Tour-de-Salvagny;La Tour-de-Salvagny;69890;Propriétaire loft;55-65 ans;Porte coulissante sur mesure;Rénovation intérieure;75;À contacter;Non;;;;
LEAD-296;M.;Nicolas;Robert;nicolas.robert@yahoo.fr;06 70 59 97 49;120 Boulevard de la Mairie, 69310 Pierre-Bénite;Pierre-Bénite;69310;Propriétaire duplex;30-40 ans;Banquette sur mesure;Aménagement rangement;75;À contacter;Non;;;;
LEAD-081;M.;Michel;Lemaire;michel70@yahoo.fr;07 83 61 91 63;38 Avenue des Tilleuls, 69003 Lyon 3ème;Lyon 3ème;69003;Propriétaire maison ancienne;40-50 ans;Rénovation menuiseries intérieures;Restauration / ancien;74;À contacter;Non;;;;
LEAD-095;Mme;Claire;Brunet;c.brunet@gmail.com;06 16 40 63 91;102 Passage Émile Zola, 69430 Régnié-Durette;Régnié-Durette;69430;Propriétaire maison;65-75 ans;Création dressing sur mesure;Restauration / ancien;74;À contacter;Non;;;;
LEAD-070;M.;Pierre;Bertrand;p.bertrand@sfr.fr;06 32 43 16 26;95 Place de la Côte, 69002 Lyon 2ème;Lyon 2ème;69002;Propriétaire duplex;35-45 ans;Placards encastrés;Menuiseries extérieures;73;À contacter;Non;;;;
LEAD-086;M.;Éric;Mathieu;eric.mathieu@hotmail.fr;07 23 53 20 74;83 Chemin Victor Hugo, 69530 Brignais;Brignais;69530;Propriétaire duplex;65-75 ans;Porte d'entrée bois sur mesure;Menuiseries extérieures;73;À contacter;Non;;;;
LEAD-136;M.;Christian;Fournier;christian98@sfr.fr;07 40 38 48 28;104 Route Jean Jaurès, 69470 Cours;Cours;69470;Propriétaire villa;60-70 ans;Restauration parquet ancien;Restauration / ancien;73;À contacter;Non;;;;
LEAD-299;M.;Mathieu;Barbier;m.barbier@orange.fr;07 66 34 12 98;49 Boulevard du Stade, 69300 Caluire-et-Cuire;Caluire-et-Cuire;69300;Propriétaire maison;65-75 ans;Rénovation escalier bois;Aménagement rangement;73;À contacter;Non;;;;
LEAD-300;M.;Jean-Marc;Hubert;jeanmarc61@orange.fr;07 51 69 45 86;118 Montée de la Mairie, 69620 Theizé;Theizé;69620;Propriétaire maison de village;40-50 ans;Création dressing sur mesure;Menuiseries extérieures;73;À contacter;Non;;;;
LEAD-072;Mme;Florence;Moreau;florence.moreau@free.fr;06 45 89 91 84;71 Boulevard du Lavoir, 69200 Vénissieux;Vénissieux;69200;Propriétaire maison de village;50-60 ans;Tête de lit sur mesure bois;Menuiseries extérieures;72;À contacter;Non;;;;
LEAD-082;M.;François;Laurent;francois77@gmail.com;07 77 20 60 49;96 Boulevard de la Paix, 69460 Odenas;Odenas;69460;Propriétaire loft;40-50 ans;Bibliothèque sur mesure;Rénovation intérieure;72;À contacter;Non;;;;
LEAD-115;Mme;Aurélie;Leclerc;aurelie88@orange.fr;07 74 15 15 14;18 Boulevard du 8 Mai 1945, 01480 Jassans-Riottier;Jassans-Riottier;01480;Propriétaire villa;40-50 ans;Terrasse bois;Restauration / ancien;72;À contacter;Non;;;;
LEAD-125;M.;Franck;Dupont;franck.dupont21@free.fr;07 33 11 53 47;73 Impasse des Vignes, 69500 Bron;Bron;69500;Propriétaire loft;60-70 ans;Tête de lit sur mesure bois;Menuiseries extérieures;72;À contacter;Non;;;;
LEAD-177;M.;Gérard;Bertrand;gerard73@outlook.com;06 70 19 12 85;9 Rue des Écoles, 69820 Fleurie;Fleurie;69820;Propriétaire maison;30-40 ans;Aménagement sous pente;Menuiseries extérieures;72;À contacter;Non;;;;
LEAD-007;M.;Christophe;Mallet;christophe.mallet@gmail.com;06 90 30 97 64;77 Avenue du Lavoir, 69620 Ternand;Ternand;69620;Propriétaire maison de village;65-75 ans;Pose de portes intérieures;Restauration / ancien;71;À contacter;Non;;;;
LEAD-142;M.;Jérôme;Martin;jerome.martin@orange.fr;06 11 37 74 68;48 Rue Antoine de Saint-Exupéry, 71570 Saint-Amour-Bellevue;Saint-Amour-Bellevue;71570;Propriétaire duplex;65-75 ans;Banquette sur mesure;Aménagement rangement;71;À contacter;Non;;;;
LEAD-184;M.;Alain;Roger;alain55@free.fr;07 11 57 35 47;73 Allée Antoine de Saint-Exupéry, 69240 Thizy-les-Bourgs;Thizy-les-Bourgs;69240;Propriétaire villa;55-65 ans;Porte d'entrée bois sur mesure;Restauration / ancien;71;À contacter;Non;;;;
LEAD-204;Mme;Delphine;Laurent;delphinelaurent@laposte.net;06 13 36 31 91;38 Avenue du 8 Mai 1945, 69550 Amplepuis;Amplepuis;69550;Propriétaire maison ancienne;60-70 ans;Placards encastrés;Menuiseries extérieures;71;À contacter;Non;;;;
LEAD-209;M.;Christian;Garcia;christian86@orange.fr;06 23 82 22 46;112 Montée des Pins, 69840 Chénas;Chénas;69840;Propriétaire maison ancienne;60-70 ans;Meuble de rangement intégré;Aménagement rangement;71;À contacter;Non;;;;
LEAD-243;M.;André;Joly;andre97@laposte.net;06 92 81 59 40;66 Allée Jean Moulin, 69300 Caluire-et-Cuire;Caluire-et-Cuire;69300;Propriétaire maison;60-70 ans;Plan de travail bois massif;Menuiseries extérieures;71;À contacter;Non;;;;
LEAD-119;Mme;Christelle;Perrot;christelle.perrot42@outlook.fr;07 50 32 68 78;44 Montée des Pins, 69350 La Mulatière;La Mulatière;69350;Propriétaire loft;50-60 ans;Plan de travail bois massif;Restauration / ancien;70;À contacter;Non;;;;
LEAD-127;Mme;Nicole;Durand;nicoledurand@gmail.com;07 97 74 49 98;16 Allée Saint-Antoine, 69126 Brindas;Brindas;69126;Propriétaire appartement;45-55 ans;Tête de lit sur mesure bois;Sur mesure / dressing;70;À contacter;Non;;;;
LEAD-192;Mme;Delphine;André;d.andre@orange.fr;07 29 14 88 89;79 Impasse du Pré, 69400 Gleizé;Gleizé;69400;Propriétaire villa;60-70 ans;Parquet chêne collé;Restauration / ancien;70;À contacter;Non;;;;
LEAD-263;Mme;Claire;Baron;baron.claire@wanadoo.fr;06 71 96 71 71;27 Passage de la Mairie, 69600 Oullins;Oullins;69600;Propriétaire loft;60-70 ans;Banquette sur mesure;Rénovation intérieure;70;À contacter;Non;;;;
LEAD-273;Mme;Sophie;Blanchard;blanchard.sophie@yahoo.fr;07 34 14 86 75;67 Impasse Antoine de Saint-Exupéry, 69620 Ternand;Ternand;69620;Propriétaire duplex;30-40 ans;Restauration volets bois;Parquet & sol bois;70;À contacter;Non;;;;
LEAD-032;M.;Nicolas;Guérin;nicolasguerin@free.fr;06 39 59 98 29;91 Impasse Pasteur, 69480 Anse;Anse;69480;Propriétaire villa;55-65 ans;Meuble de rangement intégré;Restauration / ancien;69;À contacter;Non;;;;
LEAD-093;M.;Franck;Joly;franckjoly@orange.fr;07 54 13 63 16;51 Montée Saint-Antoine, 69620 Létra;Létra;69620;Propriétaire villa;35-45 ans;Porte d'entrée bois sur mesure;Parquet & sol bois;69;À contacter;Non;;;;
LEAD-129;Mme;Pascale;Lucas;pascalelucas@outlook.com;07 76 66 24 97;27 Passage des Platanes, 69310 Pierre-Bénite;Pierre-Bénite;69310;Propriétaire maison de village;65-75 ans;Création dressing sur mesure;Rénovation intérieure;69;À contacter;Non;;;;
LEAD-132;M.;Christophe;Pichon;christophe.pichon23@gmail.com;06 38 10 12 48;60 Montée de la Liberté, 69400 Arnas;Arnas;69400;Propriétaire villa;45-55 ans;Restauration parquet ancien;Sur mesure / dressing;69;À contacter;Non;;;;
LEAD-254;M.;Pascal;Bonnet;bonnet.pascal@sfr.fr;06 30 33 38 88;107 Allée du Château, 69380 Dommartin;Dommartin;69380;Propriétaire appartement;30-40 ans;Placards encastrés;Restauration / ancien;69;À contacter;Non;;;;
LEAD-060;Mme;Camille;Dufour;camilledufour@wanadoo.fr;06 69 91 42 68;33 Rue Émile Zola, 69280 Sainte-Consorce;Sainte-Consorce;69280;Propriétaire duplex;40-50 ans;Parquet chêne collé;Rénovation intérieure;68;À contacter;Non;;;;
LEAD-067;M.;Arnaud;Hubert;hubert.arnaud@yahoo.fr;06 63 93 22 72;79 Place de Lyon, 69270 Couzon-au-Mont-d'Or;Couzon-au-Mont-d'Or;69270;Propriétaire duplex;55-65 ans;Pose parquet massif;Sur mesure / dressing;68;À contacter;Non;;;;
LEAD-090;M.;Thierry;Moreau;thierry99@gmail.com;06 94 53 89 26;77 Place de l'Église, 69550 Amplepuis;Amplepuis;69550;Propriétaire appartement;40-50 ans;Restauration volets bois;Aménagement rangement;68;À contacter;Non;;;;
LEAD-221;M.;Christian;Petit;christian.petit26@orange.fr;07 28 50 33 20;63 Boulevard des Glycines, 69340 Francheville;Francheville;69340;Propriétaire maison ancienne;30-40 ans;Restauration volets bois;Rénovation intérieure;68;À contacter;Non;;;;
LEAD-236;M.;Jean-Pierre;Leclerc;j.leclerc@laposte.net;07 16 38 68 52;72 Passage Marcel Pagnol, 69350 La Mulatière;La Mulatière;69350;Propriétaire duplex;55-65 ans;Habillage mural bois;Aménagement rangement;68;À contacter;Non;;;;
LEAD-294;M.;Pierre;Mercier;mercier.pierre@free.fr;07 11 39 21 29;2 Route Gambetta, 69300 Caluire-et-Cuire;Caluire-et-Cuire;69300;Propriétaire villa;50-60 ans;Bibliothèque sur mesure;Menuiseries extérieures;68;À contacter;Non;;;;
LEAD-018;Mme;Françoise;Sanchez;f.sanchez@laposte.net;06 11 68 89 82;13 Avenue des Champs, 69160 Tassin-la-Demi-Lune;Tassin-la-Demi-Lune;69160;Propriétaire maison de village;50-60 ans;Aménagement sous pente;Sur mesure / dressing;67;À contacter;Non;;;;
LEAD-073;M.;Bernard;Hubert;bernard99@laposte.net;06 65 67 39 62;44 Route des Tilleuls, 69500 Bron;Bron;69500;Propriétaire duplex;35-45 ans;Meuble de rangement intégré;Parquet & sol bois;67;À contacter;Non;;;;
LEAD-202;Mme;Sandrine;Moreau;moreau.sandrine@orange.fr;06 80 21 53 86;79 Route du Marché, 69400 Limas;Limas;69400;Propriétaire duplex;40-50 ans;Meuble de rangement intégré;Restauration / ancien;67;À contacter;Non;;;;
LEAD-207;Mme;Isabelle;Lucas;isabelle93@hotmail.com;06 25 67 32 31;28 Impasse du Stade, 69250 Montanay;Montanay;69250;Propriétaire villa;35-45 ans;Pose parquet massif;Aménagement rangement;67;À contacter;Non;;;;
LEAD-249;M.;Robert;Richard;robert70@laposte.net;06 22 31 78 78;1 Avenue Gambetta, 69550 Amplepuis;Amplepuis;69550;Propriétaire duplex;45-55 ans;Plan de travail bois massif;Aménagement rangement;67;À contacter;Non;;;;
LEAD-014;Mme;Florence;Roux;florenceroux@orange.fr;06 66 80 22 16;84 Montée de la République, 69430 Régnié-Durette;Régnié-Durette;69430;Propriétaire loft;45-55 ans;Création dressing sur mesure;Sur mesure / dressing;66;À contacter;Non;;;;
LEAD-111;Mme;Charlotte;Bertrand;c.bertrand@hotmail.com;06 69 25 44 67;32 Chemin des Lilas, 69430 Beaujeu;Beaujeu;69430;Propriétaire maison ancienne;60-70 ans;Pose parquet massif;Restauration / ancien;66;À contacter;Non;;;;
LEAD-123;M.;Laurent;Nguyen;laurentnguyen@hotmail.fr;07 51 46 92 17;117 Avenue du Pré, 69290 Grézieu-la-Varenne;Grézieu-la-Varenne;69290;Propriétaire appartement;30-40 ans;Claustra / séparation bois;Sur mesure / dressing;66;À contacter;Non;;;;
LEAD-151;M.;Guillaume;Leclerc;leclerc.guillaume@outlook.com;07 31 27 44 48;35 Route de l'Église, 69260 Charbonnières-les-Bains;Charbonnières-les-Bains;69260;Propriétaire appartement;60-70 ans;Création dressing sur mesure;Parquet & sol bois;66;À contacter;Non;;;;
LEAD-157;Mme;Élisabeth;Leclerc;e.leclerc@outlook.com;07 69 96 85 98;65 Chemin des Pins, 01600 Massieux;Massieux;01600;Propriétaire villa;35-45 ans;Rénovation menuiseries intérieures;Parquet & sol bois;66;À contacter;Non;;;;
LEAD-226;M.;Pierre;Petit;pierre.petit54@gmail.com;06 80 42 70 99;20 Impasse Jean Moulin, 69210 Lentilly;Lentilly;69210;Propriétaire duplex;30-40 ans;Plan de travail bois massif;Parquet & sol bois;66;À contacter;Non;;;;
LEAD-026;M.;Jean-Marc;Rey;jeanmarc.rey@orange.fr;07 89 50 94 25;93 Allée du Panorama, 69380 Lozanne;Lozanne;69380;Propriétaire duplex;60-70 ans;Parquet chêne collé;Parquet & sol bois;65;À contacter;Non;;;;
LEAD-080;M.;Jérôme;Rousseau;jerome.rousseau16@free.fr;07 32 26 58 78;91 Impasse du Panorama, 69550 Amplepuis;Amplepuis;69550;Propriétaire loft;55-65 ans;Restauration parquet ancien;Rénovation intérieure;65;À contacter;Non;;;;
LEAD-114;Mme;Michèle;Leclerc;michele.leclerc@sfr.fr;07 74 67 80 45;106 Passage des Amandiers, 69230 Saint-Genis-Laval;Saint-Genis-Laval;69230;Propriétaire maison;40-50 ans;Tête de lit sur mesure bois;Rénovation intérieure;65;À contacter;Non;;;;
LEAD-144;M.;David;Lopez;david.lopez11@sfr.fr;07 82 41 99 38;39 Avenue du Pré, 69220 Belleville-en-Beaujolais;Belleville-en-Beaujolais;69220;Propriétaire loft;30-40 ans;Banquette sur mesure;Rénovation intérieure;65;À contacter;Non;;;;
LEAD-160;Mme;Delphine;Sanchez;delphine78@laposte.net;07 59 10 37 36;36 Avenue de la Source, 69004 Lyon 4ème;Lyon 4ème;69004;Propriétaire loft;40-50 ans;Placards encastrés;Parquet & sol bois;65;À contacter;Non;;;;
LEAD-189;Mme;Christine;Rey;c.rey@laposte.net;06 21 41 55 60;66 Rue des Amandiers, 69470 Cours;Cours;69470;Propriétaire maison ancienne;40-50 ans;Parquet chêne collé;Rénovation intérieure;65;À contacter;Non;;;;
LEAD-258;M.;Alain;Colin;alain.colin@gmail.com;07 85 37 14 80;34 Montée des Champs, 69100 Villeurbanne;Villeurbanne;69100;Propriétaire duplex;40-50 ans;Habillage mural bois;Parquet & sol bois;65;À contacter;Non;;;;
LEAD-002;M.;Mathieu;Arnaud;m.arnaud@wanadoo.fr;06 30 99 64 53;36 Chemin Gambetta, 69840 Chénas;Chénas;69840;Propriétaire maison ancienne;35-45 ans;Verrière bois;Rénovation intérieure;64;À contacter;Non;;;;
LEAD-088;M.;Julien;Fournier;julienfournier@gmail.com;07 49 93 99 94;51 Chemin Marcel Pagnol, 69480 Anse;Anse;69480;Propriétaire maison;50-60 ans;Étagères murales sur mesure;Restauration / ancien;64;À contacter;Non;;;;
LEAD-150;Mme;Delphine;Joly;delphine.joly@outlook.fr;06 21 55 80 21;77 Passage des Cerisiers, 69270 Fontaines-Saint-Martin;Fontaines-Saint-Martin;69270;Propriétaire maison;50-60 ans;Pose de portes intérieures;Menuiseries extérieures;64;À contacter;Non;;;;
LEAD-173;Mme;Marie;Hubert;mariehubert@gmail.com;07 19 39 59 21;94 Avenue des Lilas, 69400 Limas;Limas;69400;Propriétaire maison ancienne;50-60 ans;Bibliothèque sur mesure;Sur mesure / dressing;64;À contacter;Non;;;;
LEAD-200;M.;Jacques;Lacroix;jacques.lacroix94@laposte.net;06 43 36 41 98;9 Boulevard des Écoles, 69126 Brindas;Brindas;69126;Propriétaire duplex;30-40 ans;Placards encastrés;Rénovation intérieure;64;À contacter;Non;;;;
LEAD-220;M.;Christian;Clément;christian.clement75@wanadoo.fr;06 70 16 91 84;75 Passage Pasteur, 69430 Beaujeu;Beaujeu;69430;Propriétaire appartement;35-45 ans;Habillage mural bois;Aménagement rangement;64;À contacter;Non;;;;
LEAD-271;M.;Bruno;Roux;bruno.roux96@gmail.com;06 22 37 75 61;101 Boulevard Voltaire, 69290 Pollionnay;Pollionnay;69290;Propriétaire duplex;30-40 ans;Tête de lit sur mesure bois;Sur mesure / dressing;64;À contacter;Non;;;;
LEAD-015;M.;Stéphane;Gérard;stephane.gerard49@orange.fr;07 68 46 64 99;94 Montée de la Colline, 69008 Lyon 8ème;Lyon 8ème;69008;Propriétaire villa;40-50 ans;Étagères murales sur mesure;Sur mesure / dressing;63;À contacter;Non;;;;
LEAD-064;Mme;Jacqueline;Fontaine;j.fontaine@hotmail.com;07 47 53 24 69;10 Chemin de la Paix, 69250 Neuville-sur-Saône;Neuville-sur-Saône;69250;Propriétaire duplex;60-70 ans;Plan de travail bois massif;Restauration / ancien;63;À contacter;Non;;;;
LEAD-066;M.;Thomas;Roger;thomas.roger@free.fr;06 15 14 48 73;15 Avenue du Moulin, 69890 La Tour-de-Salvagny;La Tour-de-Salvagny;69890;Propriétaire appartement;60-70 ans;Restauration parquet ancien;Menuiseries extérieures;63;À contacter;Non;;;;
LEAD-139;M.;Fabrice;Henry;f.henry@yahoo.fr;07 43 56 75 73;60 Avenue du 8 Mai 1945, 69840 Juliénas;Juliénas;69840;Propriétaire loft;55-65 ans;Verrière bois;Sur mesure / dressing;63;À contacter;Non;;;;
LEAD-217;Mme;Patricia;Blanchard;blanchard.patricia@wanadoo.fr;07 34 29 76 40;116 Rue Marcel Pagnol, 69620 Sainte-Paule;Sainte-Paule;69620;Propriétaire duplex;55-65 ans;Pose de portes intérieures;Aménagement rangement;63;À contacter;Non;;;;
LEAD-291;Mme;Christelle;Dumont;dumont.christelle@hotmail.fr;07 71 48 11 65;103 Allée Marcel Pagnol, 69240 Thizy-les-Bourgs;Thizy-les-Bourgs;69240;Propriétaire loft;30-40 ans;Porte d'entrée bois sur mesure;Restauration / ancien;63;À contacter;Non;;;;
LEAD-076;Mme;Monique;Denis;denis.monique@laposte.net;06 87 94 98 44;4 Chemin de Lyon, 69270 Fontaines-Saint-Martin;Fontaines-Saint-Martin;69270;Propriétaire loft;50-60 ans;Étagères murales sur mesure;Parquet & sol bois;62;À contacter;Non;;;;
LEAD-167;Mme;Martine;Bonnet;m.bonnet@outlook.com;06 51 47 47 83;35 Montée des Amandiers, 69008 Lyon 8ème;Lyon 8ème;69008;Propriétaire appartement;60-70 ans;Placards encastrés;Rénovation intérieure;62;À contacter;Non;;;;
LEAD-218;M.;Alexandre;Meyer;alexandre.meyer54@wanadoo.fr;06 84 83 34 53;93 Impasse des Amandiers, 69550 Amplepuis;Amplepuis;69550;Propriétaire duplex;65-75 ans;Restauration parquet ancien;Aménagement rangement;62;À contacter;Non;;;;
LEAD-230;Mme;Isabelle;Bernard;i.bernard@laposte.net;07 89 44 21 57;105 Boulevard des Vignes, 69130 Écully;Écully;69130;Propriétaire villa;60-70 ans;Placards encastrés;Menuiseries extérieures;62;À contacter;Non;;;;
LEAD-278;M.;Didier;Morin;didiermorin@orange.fr;06 73 35 40 40;112 Allée Gambetta, 69400 Gleizé;Gleizé;69400;Propriétaire appartement;45-55 ans;Porte d'entrée bois sur mesure;Restauration / ancien;62;À contacter;Non;;;;
LEAD-298;Mme;Isabelle;Collet;isabellecollet@hotmail.fr;07 21 41 30 73;12 Passage du Beaujolais, 69210 Lentilly;Lentilly;69210;Propriétaire duplex;30-40 ans;Verrière bois;Rénovation intérieure;62;À contacter;Non;;;;
LEAD-097;M.;Thomas;Masson;t.masson@wanadoo.fr;06 54 40 94 90;14 Passage du Beaujolais, 69430 Beaujeu;Beaujeu;69430;Propriétaire maison;55-65 ans;Remplacement fenêtres bois;Restauration / ancien;61;À contacter;Non;;;;
LEAD-116;Mme;Mélanie;Morin;m.morin@sfr.fr;07 74 75 78 72;91 Passage de la Fontaine, 69290 Craponne;Craponne;69290;Propriétaire loft;30-40 ans;Habillage mural bois;Parquet & sol bois;61;À contacter;Non;;;;
LEAD-152;Mme;Catherine;Fontaine;catherine.fontaine93@wanadoo.fr;06 68 23 27 48;1 Place du Beaujolais, 69280 Marcy-l'Étoile;Marcy-l'Étoile;69280;Propriétaire villa;55-65 ans;Tête de lit sur mesure bois;Menuiseries extérieures;61;À contacter;Non;;;;
LEAD-156;M.;Thomas;Simon;t.simon@wanadoo.fr;06 92 88 15 82;83 Place du Beaujolais, 69300 Caluire-et-Cuire;Caluire-et-Cuire;69300;Propriétaire maison;30-40 ans;Meuble de rangement intégré;Rénovation intérieure;61;À contacter;Non;;;;
LEAD-196;Mme;Brigitte;Meyer;brigitte.meyer@free.fr;06 17 39 87 38;3 Montée du 8 Mai 1945, 69270 Couzon-au-Mont-d'Or;Couzon-au-Mont-d'Or;69270;Propriétaire maison ancienne;45-55 ans;Rénovation menuiseries intérieures;Sur mesure / dressing;61;À contacter;Non;;;;
LEAD-215;M.;Fabrice;Rey;fabricerey@hotmail.fr;06 38 42 87 49;92 Allée de la Liberté, 69002 Lyon 2ème;Lyon 2ème;69002;Propriétaire loft;55-65 ans;Pose de portes intérieures;Menuiseries extérieures;61;À contacter;Non;;;;
LEAD-245;Mme;Sophie;Rey;sophie97@orange.fr;06 58 15 64 45;72 Allée du Stade, 69100 Villeurbanne;Villeurbanne;69100;Propriétaire maison de village;50-60 ans;Restauration volets bois;Rénovation intérieure;61;À contacter;Non;;;;
LEAD-077;Mme;Véronique;Renard;renard.veronique@sfr.fr;06 21 77 37 58;54 Route du Beaujolais, 69290 Pollionnay;Pollionnay;69290;Propriétaire maison ancienne;50-60 ans;Restauration volets bois;Aménagement rangement;60;À contacter;Non;;;;
LEAD-109;M.;Pierre;Simon;p.simon@laposte.net;06 83 63 89 91;4 Route des Glycines, 69006 Lyon 6ème;Lyon 6ème;69006;Propriétaire maison ancienne;50-60 ans;Restauration parquet ancien;Menuiseries extérieures;60;À contacter;Non;;;;
LEAD-135;M.;Sébastien;Perrot;sebastien.perrot@yahoo.fr;06 90 96 64 81;64 Rue des Pins, 69370 Saint-Didier-au-Mont-d'Or;Saint-Didier-au-Mont-d'Or;69370;Propriétaire duplex;60-70 ans;Banquette sur mesure;Restauration / ancien;60;À contacter;Non;;;;
LEAD-171;M.;Serge;Dubois;serge.dubois@orange.fr;07 35 98 26 93;39 Chemin de Lyon, 69600 Oullins;Oullins;69600;Propriétaire duplex;55-65 ans;Création dressing sur mesure;Parquet & sol bois;60;À contacter;Non;;;;
LEAD-234;M.;Jean-Pierre;Roche;jeanpierre.roche10@orange.fr;07 40 52 45 16;65 Impasse Voltaire, 69620 Ternand;Ternand;69620;Propriétaire villa;60-70 ans;Banquette sur mesure;Sur mesure / dressing;60;À contacter;Non;;;;
LEAD-255;M.;Alain;Roussel;alainroussel@gmail.com;07 52 55 26 95;84 Impasse des Lilas, 69126 Brindas;Brindas;69126;Propriétaire maison de village;35-45 ans;Parquet chêne collé;Sur mesure / dressing;60;À contacter;Non;;;;
LEAD-023;M.;Christian;Thomas;thomas.christian@free.fr;06 44 30 99 23;49 Rue du 8 Mai 1945, 69330 Meyzieu;Meyzieu;69330;Propriétaire appartement;65-75 ans;Porte d'entrée bois sur mesure;Parquet & sol bois;59;À contacter;Non;;;;
